@relation set-sample

@attribute question string
@attribute class {rsp1, rsp2, rsp3, rsp4, rsp5, rsp6, rsp7, rsp8, rsp9, rsp10, rsp11, rsp12, rsp13 ,rsp14, rsp15, rsp16, rsp17, rsp18, rsp19, rsp20, rsp21, rsp22, rsp23, rsp24, rsp25, rsp26, rsp27, rsp28 ,rsp29, rsp30, rsp31, rsp32, rsp33, rsp34, rsp35, rsp36, rsp37, rsp38, rsp39, rsp40, rsp41, rsp42, rsp43, rsp44, rsp45, rsp46, rsp47, rsp48, rsp49, rsp50, rsp51, rsp52, rsp53, rsp54, rsp55, rsp56, rsp57, rsp58, rsp59, rsp60, rsp61, rsp62, rsp63, rsp64, rsp65, rsp66, rsp67, rsp68, rsp69, rsp70, rsp71, rsp72, rsp73, rsp74, rsp75, rsp76, rsp77, rsp78, rsp79, rsp80, rsp81, rsp82, rsp83, rsp84, rsp85, rsp86, rsp87, rsp88, rsp89, rsp90, rsp91, rsp92, rsp93, rsp94, rsp95, rsp96, rsp97, rsp98, rsp99, rsp100 ,rsp101, rsp103, rsp104, rsp105, rsp106, rsp107, rsp108, rsp109, rsp110, rsp111, rsp112, rsp113, rsp115, rsp116, rsp117, rsp118}

@data
'Öğrenci belgemi benim yerime başka bir öğrenci alabilir mi',rsp1
'Öğrenci belgemi başkası alabilir mi',rsp1
'Öğrenci belgemi arkadaşım alabilir mi',rsp1
'Öğrenci belgemi annem alabilir mi',rsp1
'Öğrenci belgemi akrabam alabilir mi',rsp1
'Öğrenci belgemi benim yerime başka birisi alabilir mi',rsp1
'Öğrenci belgesini başkası alabilir mi',rsp1
'Öğrenci belgesini benim yerime başkası alabilir mi',rsp1
'Öğrenci belgesini benim dışımda birisi alabilir mi',rsp1
'Öğrenci belgesini başka birisi alabilir mi',rsp1
'Öğrenci belgesini yalnızca ben mi alabilirim',rsp1
'Öğrenci belgesini başkası alsa olurmu',rsp1
'Benim öğrenci belgemi öğrenci işlerinden başka bir öğrenci alabilir mi',rsp1
'Öğrenci belgemi öğrenci işlerinden başka birisi alabilir mi',rsp1
'Öğrenci belgemi öğrenci işlerinden başka biri alabilir mi',rsp1
'Öğrenci belgesini öğrenci işlerinden benim yerime başka bir kişi alabilir mi',rsp1
'Öğrenci belgesini öğrenci işlerinden benim yerime annem alabilir mi',rsp1
'Okulumdan öğrenci belgesini benim yerime bir başkası alabilir mi',rsp1
'Üniversiteden öğrenci belgesini benim yerime bir başkası alsa olurmu',rsp1
'Üniversiteden öğrenci belgesini benim yerime bir başka öğrenci alsa olur mu',rsp1
'Başka bir öğrencinin öğrenci belgesini alabilir miyim',rsp1
'Arkadaşımın öğrenci belgesini ben alabilir miyim',rsp1
'Başkasının öğrenci belgesini ben alabilir miyim',rsp1
'Herhangi biri benim yerime öğrenci işlerine gidip öğrenci belgesi alabilir mi',rsp1
'Başkası benim yerime öğrenci belgesi alabilir mi',rsp1
'Öğrenci belgesini yalnızca öğrencinin kendisi mi almalı yoksa bir başkası gidip o öğrencinin öğrenci belgesini alabilir mi ya da isteyebilir mi',rsp1
'İsteyen herkes bir başkasının öğrenci belgesini öğrenci işlerinden alabilir mi alabilir mi',rsp1
'Yabancı bir kişi gelip benim öğrenci belgemi alabilir mi',rsp1
'Öğrenci belgemi benim dışımda bir yabancı alabilir mi ya da isteyebilir mi',rsp1
'Öğrenci işleri benim öğrenci belgemi bir başkasına verebilir mi',rsp1
'Öğrenci belgemi arkadaşım alsa olur mu',rsp1
'Öğrenci belgemi arkadaşım alsa sorun olur mu',rsp1
'Öğrenci belgemi arkadaşım alabiliyor mu',rsp1
'Transkripti benim yerime başkası alabilir mi',rsp2
'Transkripti başkası alabilir mi',rsp2
'Transkripti arkadaşım alabilir mi',rsp2
'Transkripti annem başkası alabilir mi',rsp2
'Transkripti akrabam alabilir mi',rsp2
'Transkripti benim yerime başka birisi alabilir mi',rsp2
'Transkriptimi benim dışımda birisi alabilir mi',rsp2
'Transkripti benim dışımda birisi alabilir mi',rsp2
'Transkripti başkası alsa olur mu',rsp2
'Benim transkripti öğrenci işlerinden başka bir öğrenci alabilir mi',rsp2
'Transkripti öğrenci işlerinden başka birisi alabilir mi',rsp2
'Transkripti öğrenci işlerinden başkası alabilir mi',rsp2
'Üniversiteden transkripti benim yerime başka birisi alabilir mi alabilir mi',rsp2
'Transkripti benim yerime herhangi biri alabilir mi',rsp2
'Transkripti yalnızca öğrenci kendisi mi almalı yoksa bir başkası gidip o öğrencinin transkriptini alabilir mi ya da isteyebilir mi',rsp2
'İsteyen herkes bir başkasının transkriptini alabilir mi',rsp2
'Transkripti arkadaşım alsa olur mu ',rsp2
'Transkripti arkadaşım alsa sorun olur mu ',rsp2
'Transkripti arkdaşım alabiliryor mu',rsp2
'Arkadaşımın transkriptini ben alabilir miyim',rsp2
'Yabancı bir kişi gelip benim transkriptimi alabilir mi',rsp2
'Öğrenci işleri benim transkriptimi bir başkasına verebilir mi',rsp2
'Kampüs kart başvurumu nasıl yapabilirim',rsp3
'Üniversite kampüs kart başvurusunu benim yerime yapıyor mu',rsp3
'Üniversite kampüs kart başvurusunu benim yerime mi yapıyor',rsp3
'Üniversite kampüs kart başvurusunu her öğrenci için kendisi mi yapıyor',rsp3
'Üniversite kampüs kart başvurusunu ben mi yapacağım',rsp3
'Üniversite kampüs kart başvurusu hakkında bilgi alabilir miyim',rsp3
'Üniversite kampüs kart başvurusu nasıl yapılır',rsp3
'Üniversite kampüs kart başvurusu yapacakmıyım',rsp3
'Üniversite kampüs kart başvurusu nasıl yapılıyor',rsp3
'Üniversite kampüs kart başvurusunu kim yapacak',rsp3
'Kampüs kart başvurusu yapacağım bana bilgi verir misin',rsp3
'Kampüs kart başvurusunu yapmama gerek var mı',rsp3
'Kampüs kart nasıl başvurulur',rsp3
'Kampüs kart başvurusunu kim yapar',rsp3
'Üniversite kampüs kart başvurusu hakkında bilgi alabilir miyim',rsp3
'Üniversite benim yerime kampüs kart başvurusu yapıyor mu',rsp3
'Üniversite benim yerime kampüs kart başvurusu yapar mı',rsp3
'Kampüs kart başvurusunu öğrenci kendisi mi yapmalı yoksa bir başkası yapabilir mi',rsp3
'Kampüs kart başvurusunu arkadaşım yapabilir mi',rsp3
'Kampüs kart başvurusunu öğrenci işlerimi yapıyor',rsp3
'Kampüs kart başvurusunu kim yapmalı',rsp3
'Kampüs kart başvurusunu otomatik yapılmaktamıdır',rsp3
'Kampüs kartı nerelerde kullanılır',rsp4
'Kampüs kartı nerelerde kullanabilirim',rsp4
'Kampüs kart nerelerde kullanılır',rsp4
'Kampüs kart hangi yerlerde kullanılır',rsp4
'Kampüs kart sadece fakülteye giriş çıkışlar da mı kullanılır',rsp4
'Kampüs kart sadece fakülteye giriş çıkışlar da mı kullanılır yoksa başka yerlerde kullanılabilir mi',rsp4
'Kampüs kart sadece fakülteye giriş çıkışlar da mı kullanılır yoksa başka yerlerde kullanılabilir mi öyleyse bilgi verir misin',rsp4
'Kampüs kartım ne işe yarar',rsp4
'Kampüs kart ne işe yarayacak',rsp4
'Kampüs kart ne işime yarayacak',rsp4
'Kampüs kart hangi işime yarayacak',rsp4
'Kampüs kart kullanım yerleri nedir',rsp4
'Kampüs kart kullanım alanları nedir',rsp4
'Kampüs kart kullanım alanlarını bana söyler misin',rsp4
'Kampüs kartı okul yemekhanesinde kullanabilir miyim',rsp4
'Kampüs kartı kampüs dışında nerelerde kullanabilirim',rsp4
'Kampüs kart kullanımı hakkında detay verir misin',rsp4
'Kampüs kart hangi alanlarda işime yarayacaktır',rsp4
'Kampüs kart okul yemekhanesi fakülteye giriş çıkış kütüphane gibi yerlerde kullanabilir miyim',rsp4
'Kampüs kart okul yemekhanesi fakülteye giriş çıkış kütüphane gibi yerlerde kullanamaz mıyım',rsp4
'Kampüs kart okul yemekhanesi fakülteye giriş çıkış kütüphane gibi yerlerde kullanıldığı doğrumudur',rsp4
'Kampüs kart okul yemekhanesi dışında kullanıldığı yerler neresidir',rsp4
'Kampüs kart kayboldu',rsp5
'Kampüs kart kaybettim',rsp5
'Kampüs kartım kayıp oldu',rsp5
'Kampüs kart kayıp edildi',rsp5
'Kampüs kartımı kaybetmişim',rsp5
'Kampüs kartımı çaldırdım',rsp5
'Kampüs kartım kırıldı',rsp5
'Kampüs kartım bozuldu',rsp5
'Kampüs kartımın yenisini çıkartmam gerek napıcam',rsp5
'Kampüs kartımın yenisini çıkartmalıyım napıcam',rsp5
'Kampüs kartımın yenisini çıkartmalıyım ne yapıcam',rsp5
'Kampüs kartımın yenisini çıkartmalıyım ne yapmalıyım',rsp5
'Kampüs kart çalındı bana yardım et',rsp5
'Kampüs kart çalındı nereden çıkartıcam',rsp5
'Kampüs kart çalındı yenisini çıkartmak için ne yapmalıyım',rsp5
'Kampüs kart çalındı yenisini çıkartmak için bankaya mı başvurmalıyım',rsp5
'Kampüs kart kayboldu yenisini nasıl çıkartıcam',rsp5
'Kampüs kart kayboldu ne yapmalıyım',rsp5
'Kartım kayboldu bana yardım et',rsp5
'Kartım kayboldu yenisi için ne yapmalıyım',rsp5
'Okul kartımı kaybettim napacağım',rsp5
'Okul kartımı kaybettim ne yapacağım',rsp5
'Kampüs kart çıkartmak için yapılması gerekenler',rsp5
'Kampüs kart çıkartmak için ne yapılmalı',rsp5
'Kyk bursu nasıl kesilir',rsp6
'Kyk bursu hangi sebeple kesilir',rsp6
'Kyk bursu ne olursa kesilir',rsp6
'Kyk bursu kesilir mi',rsp6
'Genel ortalamam düşük olunca kyk bursu kesilir mi',rsp6
'Genel ortalama düşük olunca kyk bursu kesilir mi',rsp6
'Genel ortalamam düşük olunca kyk burs kesilir mi',rsp6
'Genel ortalama düşük olunca kyk burs kesilir mi',rsp6
'Genel ortalamam düşük olunca kyk burs kesilecek mi',rsp6
'Genel ortalama düşük olunca kyk burs kesilecek mi',rsp6
'Genel ortalama iki buçuk altında kyk burs kesilecek mi',rsp6
'Kyk burs krediye nasıl döner',rsp6
'Kyk burs kesilince krediye döner mi',rsp6
'Kyk burs iptal edilip krediye döner mi',rsp6
'Kyk burs neden iptal edilir',rsp6
'Kyk burs hangi durumlarda kesilir',rsp6
'Bursum kesilir mi',rsp6
'Bursum hangi durumlarda kesilir',rsp6
'Disiplin suçu işledim bursum kesilir mi',rsp6
'Disiplin suçu işleyince burs kesilir mi',rsp6
'Disiplin suçu işleyince kyk burs kesilir mi',rsp6
'Disiplin suçu işleyince kyk burs iptal edilir mi',rsp6
'Disiplin suçu işleyince kyk burs krediye mi döner',rsp6
'Kyk burs kesilince ne olur',rsp7
'Kyk burs iptal edilince ne olur',rsp7
'Kyk burs iptal edilince bir şey olur mu',rsp7
'Bursum iptal edilince bir şey olur mu',rsp7
'Bursum kesilince bir şey olur mu',rsp7
'Bursum kesildi şimdi ne olacak',rsp7
'Kyk bursu kesildi şimdi ne olacak',rsp7
'Kyk burs kesilince krediye mi döner',rsp7
'Bursum kesildi krediye mi dönüşecek',rsp7
